artist,title,album,decade,year,date,lyric
Metallica,Nothing Else Matters,Metallica,90s,1991,1991-08-12,so close no matter how far couldn't be much more from the heart forever trusting who we are and nothing else matters never opened myself this way life is ours we live it our way all these words i don't just say and nothing else matters trust i seek and i find in you every day for us something new open mind for a different view and nothing else matters   never cared for what they do never cared for what they know but i know   so close no matter how far it couldn't be much more from the heart forever trusting who we are and nothing else matters   never cared for what they do never cared for what they know but i know      i never opened myself this way life is ours we live it our way all these words i don't just say and nothing else matters trust i seek and i find in you every day for us something new open mind for a different view and nothing else matters   never cared for what they say never cared for games they play never cared for what they do never cared for what they know and i know yeahyeah      so close no matter how far couldn't be much more from the heart forever trusting who we are no nothing else matters
Metallica,One,...And Justice for All,80s,1989,1989-08-25,i can't remember anything can't tell if this is true or a dream deep down inside i feel to scream this terrible silence stops me now that the war is through with me i'm waking up i cannot see that there's not much left of me nothing is real but pain now   hold my breath as i wish for death oh please god wake me   back in the womb it's much too real in pumps life that i must feel but can't look forward to reveal look to the time when i'll live fed through the tube that sticks in me just like a wartime novelty tied to machines that make me be cut this life off from me   hold my breath as i wish for death oh please god wake me  short  break   now the world is gone i'm just one oh god help me hold my breath as i wish for death oh please god help me   break   darkness imprisoning me all that i see absolute horror i cannot live i cannot die trapped in myself body my holding cell landmine has taken my sight taken my speech taken my hearing taken my arms taken my legs taken my soul left me with life in hell
Metallica,Enter Sandman,Metallica,90s,1991,1991-08-12,say your prayers little one don't forget my son to include everyone i tuck you in warm within keep you free from sin 'til the sandman he comes  pre sleep with one eye open gripping your pillow tight   exit light enter night take my hand we're off to never neverland   something's wrong shut the light heavy thoughts tonight and they aren't of snow white dreams of war dreams of liars dreams of dragons' fire and of things that will bite yeah  pre sleep with one eye open gripping your pillow tight   exit light enter night take my hand we're off to never neverland      now i lay me down to sleep now i lay me down to sleep pray the lord my soul to keep pray the lord my soul to keep and if i die before i wake if i die before i wake pray the lord my soul to take pray the lord my soul to take hush little baby don't say a word and never mind that noise you heard it's just the beast under your bed in your closet in your head   exit light enter night grain of sand exit light enter night take my hand we're off to never neverland yeah haha haha   oh yeahyeah yo we're off to never neverland take my hand we're off to never neverland take my hand we're off to never neverland
Metallica,Master of Puppets,Master of Puppets,80s,1986,1986-03-03,end of passion play crumbling away i'm your source of selfdestruction veins that pump with fear sucking darkest clear leading on your death's construction  refrain taste me you will see more is all you need dedicated to how i'm killing you  pre come crawling faster faster obey your master master your life burns faster faster obey your   master master master of puppets i'm pulling your strings twisting your mind and smashing your dreams blinded by me you can't see a thing just call my name 'cause i'll hear you scream master master just call my name 'cause i'll hear you scream master master   needlework the way never you betray life of death becoming clearer pain monopoly ritual misery chop your breakfast on a mirror  refrain taste me you will see more is all you need dedicated to how i'm killing you  pre come crawling faster faster obey your master master your life burns faster faster obey your   master master master of puppets i'm pulling your strings twisting your mind and smashing your dreams blinded by me you can't see a thing just call my name 'cause i'll hear you scream master master just call my name 'cause i'll hear you scream master master  post master master master master      master master wheres the dreams that ive been after master master you promised only lies laughter laughter all i hear or see is laughter laughter laughter laughing at my cries fix me      hell is worth all that natural habitat just a rhyme without a reason neverending maze drift on numbered days now your life is out of season  refrain i will occupy i will help you die i will run through you now i rule you too  pre come crawling faster faster obey your master master your life burns faster faster obey your   master master master of puppets i'm pulling your strings twisting your mind and smashing your dreams blinded by me you can't see a thing just call my name 'cause i'll hear you scream master master just call my name 'cause i'll hear you scream master master  laughter
Metallica,The Unforgiven,Metallica,90s,1991,1991-10-28,new blood joins this earth and quickly he's subdued through constant pained disgrace the young boy learns their rules with time the child draws in this whipping boy done wrong deprived of all his thoughts the young man struggles on and on he's known ooh a vow unto his own that never from this day his will they'll take away yeah   what i've felt what i've known never shined through in what i've shown never be never see won't see what might have been what i've felt what i've known never shined through in what i've shown never free never me so i dub thee unforgiven   they dedicate their lives to running all of his he tries to please them all this bitter man he is throughout his life the same he's battled constantly this fight he cannot win a tired man they see no longer cares the old man then prepares to die regretfully that old man here is me yeah   what i've felt what i've known never shined through in what i've shown never be never see won't see what might have been what i've felt what i've known never shined through in what i've shown never free never me so i dub thee unforgiven      what i've felt what i've known never shined through in what i've shown never be never see won't see what might have been what i've felt what i've known never shined through in what i've shown never free never me so i dub thee unforgiven whoa   never free never me so i dub thee unforgiven you labeled me i'll label you so i dub thee unforgiven ah never free never me so i dub thee unforgiven you labeled me i'll label you so i dub thee unforgiven never free never me so i dub thee unforgiven
Metallica,Fade to Black,Ride the Lightning,80s,1984,1984-07-27,life it seems will fade away drifting further every day getting lost within myself nothing matters no one else i have lost the will to live simply nothing more to give there is nothing more for me need the end to set me free   things not what they used to be missing one inside of me deathly loss this can't be real cannot stand this hell i feel emptiness is filling me to the point of agony growing darkness taking dawn i was me but now he's gone   no one but me can save myself but it's too late now i can't think think why i should even try yesterday seems as though it never existed death greets me warm now i will just say goodbye goodbye
Metallica,For Whom the Bell Tolls,Ride the Lightning,80s,1984,1984-07-27,make his fight on the hill in the early day constant chill deep inside shouting gun on they run through the endless grey on they fight for they're right yes but who's to say for a hill men would kill why they do not know stiffened wounds test their pride men of five still alive through the raging glow gone insane from the pain that they surely know   for whom the bell tolls time marches on for whom the bell tolls   take a look to the sky just before you die it's the last time you will blackened roar massive roar fills the crumbling sky shattered goal fill his soul with a ruthless cry stranger now are his eyes to this mystery hears the silence so loud crack of dawn all is gone except the will to be now they see what will be blinded eyes to see   for whom the bell tolls time marches on for whom the bell tolls
Metallica,Sad But True,Metallica,90s,1991,1991-08-12,hey hey i'm your life i'm the one who takes you there hey hey i'm your life i'm the one who cares they they they betray i'm your only true friend now they they they'll betray i'm forever there   i'm your dream make you real i'm your eyes when you must steal i'm your pain when you can't feel sad but true i'm your dream mind astray i'm your eyes while you're away i'm your pain while you repay you know it's sad but true sad but true   you you you're my mask you're my cover my shelter you you you're my mask you're the one who's blamed do do do my work do my dirty work scapegoat do do do my deeds for you're the one who's shamed   i'm your dream make you real i'm your eyes when you must steal i'm your pain when you can't feel sad but true i'm your dream mind astray i'm your eyes while you're away i'm your pain while you repay you know it's sad but true sad but true      i'm your dream i'm your eyes i'm your pain i'm your dream i'm your dream i'm your eyes i'm your eyes i'm your pain i'm your pain you know it's sad but true      hate hate i'm your hate i'm your hate when you want love pay pay pay the price pay for nothing's fair hey hey i'm your life i'm the one who took you there hey hey i'm your life and i no longer care   i'm your dream make you real i'm your eyes when you must steal i'm your pain when you can't feel sad but true i'm your truth telling lies i'm your reasoned alibis i'm inside open your eyes i'm you sad but true
Metallica,Welcome Home (Sanitarium),Master of Puppets,80s,1986,1986-03-03,welcome to where time stands still no one leaves and no one will moon is full never seems to change just labelled mentally deranged dream the same thing every night i see our freedom in my sight no locked doors no windows barred no things to make my brain seem scarred sleep my friend and you will see that dream is my reality they keep me locked up in this cage can't they see it's why my brain says rage   sanitarium leave me be sanitarium just leave me alone      build my fear of what's out there i cannot breathe the open air whisper things into my brain assuring me that i'm insane they think our heads are in their hands but violent use brings violent plans keep him tied it makes him well he's getting better can't you tell no more can they keep us in listen damn it we will win they see it right they see it well but they think this saves us from our hell   sanitarium leave me be sanitarium just leave me alone   sanitarium just leave me alone   fear of living on natives getting restless now mutiny in the air got some death to do mirror stares back hard kill it's such a friendly word seems the only way for reaching out again
Metallica,Creeping Death,Ride the Lightning,80s,1984,1984-07-27,slaves hebrews born to serve to the pharaoh heed to his every word live in fear faith of the unknown one the deliverer wait something must be done four hundred years   so let it be written so let it be done i'm sent here by the chosen one so let it be written so let it be done to kill the first born pharaoh son i'm creeping death   now let my people go land of goshen go i will be with thee bush of fire blood running red and strong down the nile plague darkness three days long hail to fire   so let it be written so let it be done i'm sent here by the chosen one so let it be written so let it be done to kill the first born pharaoh son i'm creeping death      die by my hand die i creep across the land die killing first born man die by my hand die i creep across the land die killing first born man   i rule the midnight air the destroyer born i shall soon be there deadly mass i creep the steps and floor final darkness blood lamb's blood painted door i shall pass   so let it be written so let it be done i'm sent here by the chosen one so let it be written so let it be done to kill the first born pharaoh son i'm creeping death
