words,00s,10s,80s,90s
abide,0,1,0,0
absolute,0,0,1,0
absolutely,0,0,0,1
absolution,0,1,0,0
absurd,0,0,1,0
accelerate,0,1,0,0
accusation,0,0,1,0
across,0,0,1,0
acting,0,0,1,0
action,0,0,2,1
adapt,0,0,0,1
addicted,0,1,0,0
adrenaline,0,0,1,1
afraid,1,0,0,0
age,0,0,0,1
aggression,0,0,1,0
agitation,0,0,1,0
agony,0,0,2,0
aground,1,0,0,0
ah,1,1,0,1
aha,0,0,1,0
aid,0,0,0,1
aint,0,0,1,0
air,0,0,3,0
alibi,0,0,0,1
alive,0,1,1,2
alls,0,0,1,0
allure,0,1,0,0
alone,0,1,2,2
already,0,0,0,1
alright,0,0,1,0
alternative,0,0,1,0
always,1,0,2,2
amphetamine,0,1,0,0
amplifier,0,0,0,1
anger,1,0,1,0
animosity,0,0,1,0
another,0,2,1,2
anyone,0,0,0,1
anything,0,0,1,0
anywhere,0,0,0,1
apathy,0,0,1,0
appetite,0,0,1,0
apron,0,0,0,1
arm,0,0,1,1
armageddon,0,0,1,0
armor,0,0,1,0
around,0,1,1,4
as,0,0,1,0
ash,0,1,0,1
ask,0,0,0,2
asked,0,0,0,1
assassin,0,0,1,0
assuring,0,0,1,0
astray,0,0,0,1
atlas,0,1,0,0
avenge,0,0,0,1
aw,0,0,1,0
await,0,0,0,1
awake,0,0,0,1
awakens,0,0,1,0
away,2,2,7,5
baby,0,0,0,2
back,1,1,6,2
backstabbing,0,1,0,0
bad,0,0,1,0
ball,0,0,0,1
band,0,0,0,1
bang,0,0,1,0
barking,0,0,1,0
barred,0,0,2,0
barrel,0,0,0,1
bass,0,1,1,0
bastardized,0,1,0,0
battery,0,0,1,0
battled,0,0,0,1
bear,0,1,1,0
beast,0,0,0,1
beaten,0,1,0,1
beating,0,0,1,0
become,0,1,0,0
becomes,0,0,1,1
becoming,0,0,1,0
bed,0,0,0,2
begin,0,0,2,1
beginning,0,1,1,0
begun,0,0,1,0
behind,0,0,1,3
believe,0,0,1,0
